film_id,title,release_year,poster_downloaded,tmdb_id,poster_path,filename
60,He-Man y los masters del universo,2026,True,454639,/hNLKuennkGtlWvqU6Ko4Z6X8JHg.jpg,0060_He-Man_y_los_masters_del_universo.jpg
61,La doble vida de Miriam,2017,True,441168,/kvcdaGcres9pGDwZfPN9jOKfZh.jpg,0061_La_doble_vida_de_Miriam.jpg
62,Dime lo que quieres (de verdad),2023,True,1157008,/qMgx4ofxWNqgXliRyXGXImoA7vX.jpg,0062_Dime_lo_que_quieres__de_verdad_.jpg
63,Cuenta atrás,2026,True,1242265,/m3On2pUX6KRJwI8Fp7xqJkKQdIv.jpg,0063_Cuenta_atrás.jpg
64,Criaturas luminosas,2026,True,1330021,/afCyi1YlcSq2BH14UJmFbqzzJ65.jpg,0064_Criaturas_luminosas.jpg
65,L'homme inconnu,2021,True,879945,/4TpBhdaSl5ALHbgeaYOLF8Q3haz.jpg,0065_L_homme_inconnu.jpg
66,Socias por accidente,2026,True,1632181,/sr1Yoj6XLPTWYcbDoBy67xivW4I.jpg,0066_Socias_por_accidente.jpg
67,Shelter: El Protector,2026,True,1290821,/kOsqd5jFZ0p3O8Z0k0VQvBW2neW.jpg,0067_Shelter__El_Protector.jpg
68,Greenland 2,2026,True,840464,/vPftEQkiMXzOEYfz1VjmERPcCa0.jpg,0068_Greenland_2.jpg
69,ಕೆಡಿ - ದಿ ಡೆವಿಲ್,2026,True,1103473,/9cgwiPHZ57NjI0RKb2yIu8mUnNs.jpg,0069_ಕ_ಡ__-_ದ__ಡ_ವ_ಲ_.jpg
70,Psicópata: El Asesino del Conejo Blanco,2026,True,1639398,/7tIgfsTWuzXKR2kLRUPrLRTbcuo.jpg,0070_Psicópata__El_Asesino_del_Conejo_Blanco.jpg
71,The Last Supper,2025,True,1663082,/37Xv0acaem3uTrw6BnHWs0TRCrI.jpg,0071_The_Last_Supper.jpg
72,La fuerza del deber,2026,True,1628367,/aPhwFUeaYV2hNswZ7N4kDJUYDeM.jpg,0072_La_fuerza_del_deber.jpg
73,Worldbreaker,2025,True,1196067,/sTOfrLwl6hsqingLk0fRPsOVUpy.jpg,0073_Worldbreaker.jpg
74,Predator: Badlands,2025,True,1242898,/8nCEJ5hFJt0h8FhXafHGhEhT8d7.jpg,0074_Predator__Badlands.jpg
75,Colony,2026,True,1375646,/lkqrY8lioj8jwAXFnx6c5tc5Gv3.jpg,0075_Colony.jpg
76,Las ovejas detectives,2026,True,1301421,/kMJ4h39xe1fEzbLSt5FJCtEqb2H.jpg,0076_Las_ovejas_detectives.jpg
77,Michael Jackson. La vida de un ídolo,2011,True,78192,/z2MFDKcgTI7vqYNIT3lEbNsdLAM.jpg,0077_Michael_Jackson__La_vida_de_un_ídolo.jpg
78,La colegiala se enamora,1974,True,64641,/eb4mMyocL1XdaI6DPexyZGMo0sF.jpg,0078_La_colegiala_se_enamora.jpg
79,Sangre asesina,2026,True,1630423,/16TvbhCP8CfiGEbxcbtQLYWO6WG.jpg,0079_Sangre_asesina.jpg
